pathway	compound_id	score
Others	UCD-0159269	0.287212
Others	UCD-0001915	0.319652
Others	UCD-0159279	0.361912
Others	UCD-0159271	0.372589
Others	UCD-0159274	0.315057
Others	UCD-0159280	0.292997
Others	UCD-0159263	0.270287
Others	UCD-0001844	0.451599
Others	UCD-0159262	0.398510
Others	UCD-0001835	0.363487
Others	UCD-0159286	0.293436
Others	UCD-0159270	0.284690
Others	UCD-0001775	0.264537
Others	UCD-0159275	0.287860
Others	UCD-0159293	0.302403
Others	UCD-0159273	0.279514
Others	UCD-0159261	0.312391
Apoptosis	UCD-0159256	0.000000
Neuronal Signaling	UCD-0000450	0.615448
Neuronal Signaling	UCD-0018207	0.512963
Neuronal Signaling	UCD-0159265	0.573232
Neuronal Signaling	UCD-0001842	0.495370
Neuronal Signaling	UCD-0001016	0.395339
Neuronal Signaling	UCD-0001024	0.408333
Neuronal Signaling	UCD-0001014	0.453276
Epigenetics	UCD-0001921	0.000000
MAPK	UCD-0001808	0.046537
MAPK	UCD-0001804	0.042487
MAPK	UCD-0018179	0.051136
Metabolism	UCD-0159289	0.000000
Angiogenesis	UCD-0018131	0.039435
Angiogenesis	UCD-0001766	0.051957
Angiogenesis	UCD-0159258	0.041051
PI3K/Akt/mTOR	UCD-0001829	0.043478
PI3K/Akt/mTOR	UCD-0159259	0.333333
Stem Cells & Wnt	UCD-0159284	0.000000
Endocrinology & Hormones	UCD-0001801	0.136356
Endocrinology & Hormones	UCD-0001613	0.141636
Endocrinology & Hormones	UCD-0159283	0.178221
Endocrinology & Hormones	UCD-0001040	0.274405
Endocrinology & Hormones	UCD-0017999	0.118994
DNA Damage	UCD-0001810	0.133929
DNA Damage	UCD-0159285	0.137037
DNA Damage	UCD-0159257	0.205128
