profile,mean_rho_real,mean_rho_shuffled,delta_real_minus_shuffled
Anaphase,0.15650479608991533,0.5608964127385906,-0.4043916166486753
Metaphase,0.13139922605215137,0.5093394174370867,-0.3779401913849353
OutOfFocus,0.10073463266775773,0.4172842935847898,-0.31654966091703207
Apoptosis,0.1762858259363896,0.478924334081411,-0.30263850814502136
Large,0.1482367791371488,0.350562590707509,-0.2023258115703602
Elongated,0.2712370916745004,0.47031707404217477,-0.19907998236767438
Prometaphase,0.3473546385279508,0.5422565846807784,-0.19490194615282763
Grape,0.327177791535563,0.5202688055905473,-0.19309101405498436
MetaphaseAlignment,0.14517391794230394,0.3224625514621759,-0.17728863351987195
Interphase,0.3424213985129714,0.5104889215703348,-0.1680675230573634
Folded,0.2882696005225906,0.4517972552372199,-0.16352765471462932
Hole,0.40691895860031285,0.5400238670665998,-0.13310490846628692
ADCCM,0.42070576160986695,0.5503210383410524,-0.12961527673118545
SmallIrregular,0.24237625897755977,0.3648440681218771,-0.12246780914431732
Binuclear,0.3258004638947451,0.43975486734424585,-0.11395440344950075
Polylobed,0.34938013645686744,0.39657308337490166,-0.04719294691803422
